CARD,NUMBER OF PREVIOUS YEARS,HERO MODE,SQUARE 1: TITLE,SQUARE 1: AUTHOR,SQUARE 1: HARD MODE,SQUARE 1: SUBSTITUTION,SQUARE 2: TITLE,SQUARE 2: AUTHOR,SQUARE 2: HARD MODE,SQUARE 2: SUBSTITUTION,SQUARE 3: TITLE,SQUARE 3: AUTHOR,SQUARE 3: HARD MODE,SQUARE 3: SUBSTITUTION,SQUARE 4: TITLE,SQUARE 4: AUTHOR,SQUARE 4: HARD MODE,SQUARE 4: SUBSTITUTION,SQUARE 5: TITLE,SQUARE 5: AUTHOR,SQUARE 5: HARD MODE,SQUARE 5: SUBSTITUTION,SQUARE 6: TITLE,SQUARE 6: AUTHOR,SQUARE 6: HARD MODE,SQUARE 6: SUBSTITUTION,SQUARE 7: TITLE,SQUARE 7: AUTHOR,SQUARE 7: HARD MODE,SQUARE 7: SUBSTITUTION,SQUARE 8: TITLE,SQUARE 8: AUTHOR,SQUARE 8: HARD MODE,SQUARE 8: SUBSTITUTION,SQUARE 9: TITLE,SQUARE 9: AUTHOR,SQUARE 9: HARD MODE,SQUARE 9: SUBSTITUTION,SQUARE 10: TITLE,SQUARE 10: AUTHOR,SQUARE 10: HARD MODE,SQUARE 10: SUBSTITUTION,SQUARE 11: TITLE,SQUARE 11: AUTHOR,SQUARE 11: HARD MODE,SQUARE 11: SUBSTITUTION,SQUARE 12: TITLE,SQUARE 12: AUTHOR,SQUARE 12: HARD MODE,SQUARE 12: SUBSTITUTION,SQUARE 13: TITLE,SQUARE 13: AUTHOR,SQUARE 13: HARD MODE,SQUARE 13: SUBSTITUTION,SQUARE 14: TITLE,SQUARE 14: AUTHOR,SQUARE 14: HARD MODE,SQUARE 14: SUBSTITUTION,SQUARE 15: TITLE,SQUARE 15: AUTHOR,SQUARE 15: HARD MODE,SQUARE 15: SUBSTITUTION,SQUARE 16: TITLE,SQUARE 16: AUTHOR,SQUARE 16: HARD MODE,SQUARE 16: SUBSTITUTION,SQUARE 17: TITLE,SQUARE 17: AUTHOR,SQUARE 17: HARD MODE,SQUARE 17: SUBSTITUTION,SQUARE 18: TITLE,SQUARE 18: AUTHOR,SQUARE 18: HARD MODE,SQUARE 18: SUBSTITUTION,SQUARE 19: TITLE,SQUARE 19: AUTHOR,SQUARE 19: HARD MODE,SQUARE 19: SUBSTITUTION,SQUARE 20: TITLE,SQUARE 20: AUTHOR,SQUARE 20: HARD MODE,SQUARE 20: SUBSTITUTION,SQUARE 21: TITLE,SQUARE 21: AUTHOR,SQUARE 21: HARD MODE,SQUARE 21: SUBSTITUTION,SQUARE 22: TITLE OF COLLECTION,SQUARE 22: AUTHOR OF COLLECTION,SQUARE 22: HARD MODE,SQUARE 22: SUBSTITUTION,SQUARE 22A: SHORT STORY 1,SQUARE 22A: AUTHOR 1,SQUARE 22B: SHORT STORY 2,SQUARE 22B: AUTHOR 2,SQUARE 22C: SHORT STORY 3,SQUARE 22C: AUTHOR 3,SQUARE 22D: SHORT STORY 4,SQUARE 22D: AUTHOR 4,SQUARE 22E: SHORT STORY 5,SQUARE 22E: AUTHOR 5,SQUARE 23: TITLE,SQUARE 23: AUTHOR,SQUARE 23: HARD MODE,SQUARE 23: SUBSTITUTION,SQUARE 24: TITLE,SQUARE 24: AUTHOR,SQUARE 24: HARD MODE,SQUARE 24: SUBSTITUTION,SQUARE 25: TITLE,SQUARE 25: AUTHOR,SQUARE 25: HARD MODE,SQUARE 25: SUBSTITUTION,FAVORITE SQUARE,UNFAVORITE SQUARE
1,8,Yes,The Hum and the Shiver,Alex Bledsoe,Yes,NA,The Surviving Sky,Kritika H. Rao,NA,NA,The Luminous Dead,Caitlin Starling,Yes,NA,Foundryside,Robert Jackson Bennett,Yes,NA,The Thousand Eyes,A. K. Larkwood,NA,NA,The Dragon Waiting,John M. Ford,Yes,NA,The Bards of Bone Plain,Patricia A. McKillip,Yes,NA,Winter Tide,Ruthanna Emrys,NA,NA,A Three-Letter Name,Annie Lisenby,NA,NA,The Undertaking of Hart and Mercy,Megan Bannen,NA,NA,"The Practice, the Horizon, and the Chain",Sofia Samatar,NA,NA,Give Way to Night,Cass Morris,Yes,NA,The Briar Book of the Dead,A. G. Slatter,NA,NA,The Whispering Dark,Kelly Andrew,Yes,NA,First Test,Tamora Pierce,NA,NA,Cold Counsel,Chris Sharp,Yes,NA,The Phoenix in Flight,Sherwood Smith & Dave Trowbridge,NA,NA,Sweep of Stars,Maurice Broaddus,NA,NA,Pod,Laline Paull,Yes,NA,The Last Hour Between Worlds,Melissa Caruso,NA,NA,Assassin of Reality,Marina Dyachenko & Sergey Dyachenko,Yes,NA,Lost Places,Sarah Pinsker,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The World We Make,N. K. Jemisin,NA,NA,Unconquerable Sun,Kate Elliott,NA,NA,Bloodchild and Other Stories,Octavia E. Butler,NA,NA,4. Criminals,9. Self-Published or Indie Publisher
2,9,Yes,First Test,Tamora Pierce,Yes,NA,Cold Counsel,Chris Sharp,NA,NA,Under the Surface,Laline Paull,Yes,NA,The Last Hour Between Worlds,Melissa Caruso,NA,NA,Give Way to Night,Cass Morris,NA,NA,The Undertaking of Hart and Mercy,Megan Bannen,NA,NA,The Hum and the Shiver,Alex Bledsoe,NA,NA,The World We Make,N.K. Jemisin,NA,NA,Lost Places,Sarah Pinsker,Yes,NA,The Whispering Dark,Kelly Andrew,NA,NA,Assassin of Reality,Marina and Sergey Dyachenko,NA,NA,Sweep of Stars,Marcus Broaddus,Yes,NA,"The Practice, the Horizon, and the Chain",Sofia Samatar,NA,NA,A Three-Letter Name,Annie Lisby,Yes,NA,The Phoenix in Flight,Sherwood Smith and Dave Trowbridge,Yes,NA,The Thousand Eyes,A.K. Larkwood,Yes,NA,Unconquerable Sun,Kate Elliott,Yes,NA,The Surviving Sky,Kritika H. Rao,Yes,NA,The Luminous Dead,Caitlin Starling,Yes,NA,The Bards of Bone Plain,Patricia A. McKillip,Yes,NA,The Briar Book of the Dead,A.G. Slatter,NA,NA,Bloodchild and Other Stories,Octavia E. Butler,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter Tide,Ruthanna Emrys,NA,NA,The Dragon Waiting,John M. Ford,NA,NA,Foundryside,Robert Jackson Bennett,NA,NA,21. Set in a Small Town,"16. Orcs, Trolls, and Goblins — Oh My!"
3,1,Yes,All Systems Red,Martha Wells,Yes,NA,The Lies of Locke Lamora,Scott Lynch,Yes,NA,Twenty Thousand Leagues Under the Sea,Jules Verne,Yes,NA,Shorefall,Robert Jackson Bennett,Yes,NA,A Sorceress Comes to Call,T. Kingfisher,NA,NA,Well Prescribe You a Cat,Syou Ishida,NA,NA,Dragon Age: The Masked Empire,Trick Weekes,Yes,NA,Gideon the Ninth,Tamsyn Muir,NA,NA,The Dispossessed,Ursula K. Le Guin,NA,Revolutions and Rebellions 2022,Divine Rivals,Rebecca Ross,NA,NA,A Deadly Education,Naomi Novik,NA,NA,All the Birds in the Sky,Charlie Jane Anders,NA,NA,The Fox Maidens,Robin Ha,NA,NA,In the Lives of Puppets,TJ Klune,Yes,NA,The Thief of Always,Clive Barker,NA,NA,The Goblin Emperor,Katherine Addison,Yes,NA,The Vanished Birds,Simon Jimenez,NA,NA,The Haunting of Tram Car 015,P. Djèlí Clark,NA,NA,Driftwood,Marie Brennan,Yes,NA,The Maker of Swans,Paraic O’Donnell,NA,NA,The Vine Witch,Luanne G. Smith,Yes,NA,Never Whistle at Night,Shane Hawk,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Are You Listening?,Tillie Walden,Yes,NA,The Cartographers,Peng Shepherd,NA,NA,The Lark and the Wren,Mercedes Lackey,Yes,NA,20. Judge A Book By Its Cover,9. Self-Published or Indie Publisher
4,F,Yes,Titus Groan,Mervyn Peake,Yes,NA,The Haunting of Hajji Hotak and Other Stories,Jaim Jan Kochai,Yes,NA,City of Saints and Madmen,Jeff VanderMeer,Yes,NA,Roadside Picnic,Arkady & Boris Strugatsky,Yes,NA,The Employees,Olga Ravn,Yes,NA,The Book of Imaginary Beings,Jorge Luis Borges,Yes,NA,Babel-17,Samuel R. Delany,Yes,NA,The Spear Cuts through Water,Simon Jimenez,Yes,NA,Souls of Darkness,Gary Butterfield,Yes,NA,Troll: A Love Story,Johanna Sinisalo,Yes,NA,The City & The City,China Mieville,Yes,NA,Lanny,Max Porter,Yes,NA,This Wretched Valley,Jenny Kiefer,Yes,NA,The Obscene Bird of Night,Jose Donoso,Yes,NA,Blue Lard,Vladimir Sorokin,Yes,NA,Grendel,John Gardner,Yes,NA,Ninefox Gambit,Yoon Ha Lee,Yes,NA,Vagabonds!,Eloghosa Osunde,Yes,NA,Beloved,Toni Morrison,Yes,NA,Invisible Cities,Italo Calvino,Yes,NA,Subdivision,J. Robert Lennon,Yes,NA,Bliss Montage,Ling Ma,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Fisherman,John Langan,Yes,NA,Biography of X,Catherine Lacey,Yes,NA,The Book of Love,Kelly Link,Yes,NA,3. Under the Surface,25. Book Club or Readalong Book
5,1,NA,Inheritance,Nora Roberts,NA,NA,Aftermarket AfterIife,Seanan McGuire,NA,NA,Starling House,Alex E. Harrow,NA,NA,Poison Study,Maria V. Snyder,NA,NA,Perilous Times,Thomas D. Lee,NA,NA,Dragon Rider,Tarzan Matharu,Yes,NA,The Lark and the Wren,Mercedes Lackey,Yes,NA,A Lady’s Choice,Krista D. Ball,Yes,NA,Sanctuary,Ilona Andrews,NA,NA,The Undertaking of Hart and Mercy,Megan Bannen,NA,NA,Ninth House,Leigh Bardugo,Yes,NA,North Woods,Daniel Mason,NA,NA,The Book of Love,Kelly Link,Yes,NA,The Warm Hands of Ghosts,Katherine Arden,Yes,NA,King’s Dragon,Kate Elliott,Yes,NA,Bookshops and Bonedust,Travis Baldree,Yes,NA,Ocean’s Echo,Everina Maxwell,Yes,NA,Primal Mirror,Nalini Singh,NA,NA,Alone,Megan E. Freeman,Yes,NA,A Magical Girl Retires,Park Seolyeon,NA,NA,Witch of Wild Things,Raquel Vasquez Gilliland,Yes,NA,The Way Spring Arrives and Other Stories,"Yu Chen and Regina Kanyu Wang, ed.",Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Book of Elsewhere,Keanu Reeves and China Mieville,Yes,NA,Emily Wilde’s Encyclopedia of Faeries,Heather Fawcett,NA,NA,Not Another Vampire Book,Cassandra Gannon,NA,NA,20. Judge A Book By Its Cover,11. Dark Academia
6,3,NA,Paladin's Grace,T. Kingfisher,Yes,NA,Duckett & Dyer: Dicks For Hire,G.M. Nair,Yes,NA,Dungeon Crawler Carl,Matt Dinniman,Yes,NA,Six of Crows,Leigh Bardugo,Yes,NA,Hell's Wardens,Pirateaba,Yes,NA,Night Shift Dragons,Rachel Aaron,Yes,NA,The Lark and the Wren,Mercedes Lackey,Yes,NA,Shadow and Betrayal,Daniel Abraham,Yes,NA,The Last Fang of God,Ryan Kirk,Yes,NA,A Restless Truth,Freya Marske,Yes,NA,The Atlas Six,Olivie Blake,Yes,NA,The Brightest Shadow,Sarah Lin,Yes,NA,Someone You Can Build a Nest In,John Wiswell,Yes,NA,The Spear Cuts Through Water,Simon Jimenez,Yes,NA,A Song for Arbonne,Guy Gavriel Kay,Yes,NA,Bookshops & Bonedust,Travis Baldree,Yes,NA,Furious Heaven,Kate Elliott,Yes,NA,The Space Between Worlds,Micaiah Johnson,Yes,NA,The Surviving Sky,Kritika H. Rao,Yes,NA,Time Burrito,Aaron Frale,Yes,NA,Artemis,Andy Weir,Yes,NA,The Gorgon Incident and Other Stories: A Mage Errant Anthology,John Bierce,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Of Sea and Shadow,Will Wight,Yes,NA,Wind and Truth,Brandon Sanderson,Yes,NA,Some Desperate Glory,Emily Tesh,Yes,NA,20. Judge A Book By Its Cover,5. Dreams
7,1,NA,The Justice of Kings,Richard Swan,Yes,NA,The Book That Wouldn't Burn,Mark Lawrence,NA,NA,The Fifth Season,N.K. Jemisin,Yes,NA,Foundryside,Robert Jackson Bennett,Yes,NA,The Spear Cuts Through Water,Simon Jimenez,Yes,NA,Beware Of Chicken,Casualfarmer,NA,NA,A River Enchanted,Rececca Ross,Yes,NA,Going Postal,Terry Pratchet,Yes,NA,Angels Before Man,Rafael Nicolas,Yes,NA,This is How You Lose the Time War,Max Gladstone,Yes,NA,Vita Nostra,Maryna and Serhiy Dyachenko,Yes,NA,Ninth House,Leigh Bardugo,Yes,NA,Faebound,Saara El-Arifi,NA,NA,Before The Are Hanged,Joe Abercrombie,Yes,NA,Assassin's Apprentice,Robin Hobb,Yes,NA,The Goblin Emperor,Katherine Addison,Yes,NA,Morning Star,Pierce Brown,NA,NA,Iron Widow,Xiran Jay Zhao,Yes,NA,Vicious,V. E. Schwab,Yes,NA,Dead Mans Hand,James J. Butcher,Yes,NA,The Raven Boys,Maggie Stiefvater,Yes,NA,Nightmares and Dreamscapes Volume 2,Stephen King,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Godkiller,Hannah Kaner,Yes,NA,The Blacktongue Thief,Christopher Buehlman,Yes,NA,In Other Lands,Sarah Rees Brennan,Yes,NA,20. Judge A Book By Its Cover,5. Dreams
8,0,Yes,A Shadow in Summer,Daniel Abraham,Yes,NA,Emily Wilde's Encyclopaedia of Faeries,Heather Fawcett,NA,NA,Starling House,Alix E. Harrow,NA,NA,The Thief,Megan Whalen Turner,Yes,NA,Liar's Knot,M. A. Carrick,NA,NA,King's Dragon,Kate Elliott,Yes,NA,The Name of the Wind,Patrick Rothfuss,NA,NA,The Way of Kings,Brandon Sanderson,Yes,NA,Emperor of Thorns,Mark Lawrence,NA,Title With a Title,Daughter of the Forest,Juliet Marillier,NA,NA,The Will of the Many,James Islington,NA,NA,Kubera: One Last God,Currygom,Yes,NA,When Among Crows,Veronica Roth,NA,NA,Piranesi,Susanna Clarke,Yes,NA,Neverwhere,Neil Gaiman,NA,NA,Dungeon Crawler Carl,Matt Dinniman,NA,NA,Red Rising,Pierce Brown,NA,NA,Fifth Season,N. K. Jemisin,NA,NA,Sunshine,Robin McKinley,Yes,NA,The Book of Koli,M. R. Carey,Yes,NA,Night of Knives,Ian C. Esslemont,NA,NA,Sharp Ends,Joe Abercrombie,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,House of Leaves,Mark Z. Danielewski,Yes,NA,Forge of Darkness,Steven Erikson,Yes,NA,The Tainted Cup,Robert Jackson Bennett,Yes,NA,2. Alliterative Title,25. Book Club or Readalong Book
9,6,Yes,The Last Dragonslayer,Jasper Fforde,Yes,NA,Dark Arts and a Daiquiri,Annette Marie,NA,NA,The Butcher's Masquerade,Matt Dinniman,Yes,NA,The Dragon Business,Kevin J. Anderson,NA,NA,Tree of Aeons,spaizzzer,NA,NA,Unicorn Precinct,Keith R.A. DeCandido,Yes,NA,The Return of Fitzroy Angursell,Victoria Goddard,NA,NA,Oathbreakers Anonymous,Scott Warren,Yes,NA,Return of the Runebound Professor,Actus,NA,NA,A Magic of Magic and Magic,Ember East,NA,NA,Blood Over Bright Haven,M.L. Wang,NA,NA,Jonathan Strange & Mr Norrell,Susanna Clarke,NA,NA,Library System Reset: Overdue,K.T. Hanna,NA,NA,The Fey Hotel,Vermilion H Baine,Yes,NA,Dark Lord of Derkholm,Diana Wynne Jones,NA,NA,Grunts,Mary Gentle,Yes,NA,The Captain,Will Wight,NA,NA,All You Need Is Kill,Hiroshi Sakurazaka,NA,NA,Project Hail Mary,Andy Weir,Yes,NA,Feathers of Gold,Rowan Silver,NA,NA,Baking Bad,Kim M. Watt,Yes,NA,Don't Touch That!: A Sci-Fi & Fantasy Parenting Anthology,Jaymee Goh,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Apocalypse Codex,Charles Stross,NA,NA,The Menocht Loop,Lorne Ryburn,NA,NA,Children of Time,Adrian Tchaikovsky,NA,NA,"16. Orcs, Trolls, and Goblins — Oh My!",NA
10,3,Yes,Before the Coffee gets cold,Toshikazu Kawaguchi,Yes,NA,The Brides of High Hill,Nghi Vo,NA,NA,Adrift in Currents Clean and Clear,Seanan McGuire,Yes,NA,House of Open Wounds,Adrian Tchaikovsky,Yes,NA,Lent,Jo Walton,NA,NA,Sharks in The Time of Saviours,Kawai Strong Washburn,NA,NA,The Jinn-Bot of Shantiport,Samit Basu,NA,NA,Babel,R.F. Kuang,Yes,NA,The Sign of The Dragon,Mary Soon Lee,Yes,NA,The Two Princes,Kevin Christopher Snipes,Yes,NA,Piranesi,Susanna Clarke,Yes,NA,Jade War,Fonda Lee,Yes,NA,The Market of 100 Fortunes,Marie Brennan,NA,NA,Tress of the Emerald Sea,Brandon Sanderson,NA,NA,Sabriel,Garth Nix,Yes,NA,The Long Earth,"Terry Pratchett, Stephen Baxter",NA,NA,The Day lasts more than a hundred years,Chinghiz Aitmatov,NA,Literary Fantasy 2023,Lapvona,Ottessa Moshfegh,NA,NA,Moon of the Crusted Snow,Waubgeshig Rice,NA,NA,Witch Hat Atelier,Kamome Shirahama,Yes,NA,One Hundred Years of Solitude,Gabriel Garcia Marquez,Yes,NA,Outlaws of Thunder Junction,"Akemi Dawn Bowman, Alison Lührs, H.E. Hedgmon, Isaac Fellmann,",Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Die Insel der tausend Leuchttürme,Walter Moers,Yes,NA,Das Glasperlenspiel,Hermann Hesse,Yes,NA,The Beast Player,Nahoko Uehashi,Yes,NA,13. Published in 2024,10. Romantasy
11,3,Yes,The Perfect Run,Maxime J. Durand,NA,NA,Red Rising,Pierce Brown,NA,NA,Kingdoms of Death,Christopher Ruocchio,NA,NA,Empire of the Vampire,Jay Kristoff,NA,NA,Wrath Goddess Sing,Maya Deane,NA,NA,Miss Peregrine's Home for Peculiar Children,Ransom Riggs,NA,NA,King of Assassins,R.J.  Barker,NA,NA,Fevre Dream,George R.R. Martin,NA,NA,The Penelopiad,Margaret Atwood,NA,NA,Not Another Vampire Book,Cassandra Gannon,NA,NA,An Education in Malice,S.T. Gibson,Yes,NA,Bear Head,Adrian Tchaikovsky,NA,NA,A Quantum Love Story,Mike Chen,NA,NA,Last Argument of Kings,Joe Abercrombie,Yes,NA,Red Mars,Kim Stanley Robinson,Yes,NA,How to Become the Dark Lord and Die Trying,Django Wexler,NA,NA,The Quantum Thief,Hannu Rajaniemi,NA,NA,A Tempest of Tea,Hafsah Faizal,NA,NA,The Martian,Andy Weir,Yes,NA,The Hand of the Sun King,J.T. Greathouse,NA,NA,The Great Witches Baking Show,Nancy Warren,NA,NA,The War That Killed Achilles: The True Story of Homer's Iliad and the Trojan War,Caroline Alexander,NA,SFF-related nonfiction 2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ilium,Dan Simmons,Yes,NA,The Song of Achilles,Madeline Miller,NA,NA,The Seven Deaths of Evelyn Hardcastle,Stuart Turton,NA,NA,13. Published in 2024,22. Five SFF Short Stories
12,3,Yes,The Collapsing Empire,John Scalzi,NA,NA,Engines of Empire,Richard S. Ford,NA,NA,Empire of Silence,Christopher Ruocchio,NA,NA,The Garden of Empire,J.T. Greathouse,NA,NA,Empire of Ivory,Naomi Novik,Yes,NA,Empire of Jackals,Morgan  Cole,NA,NA,How to Rule an Empire and Get Away with It,K.J. Parker,NA,NA,Heirs of Empire,Evan Currie,Yes,NA,The Empire of the Dead,Phil Tucker,NA,NA,Daughter of the Drowned Empire,Frankie Diane Mallis,NA,NA,Empire of the Damned,Jay Kristoff,NA,NA,Empire of Exiles,Erin M. Evans,Yes,NA,The Trials of Empire,Richard Swan,NA,NA,The Mirror Empire,Kameron Hurley,Yes,NA,Mistress of the Empire,"Raymond Feist, Janny Wurts",Yes,NA,Empire of Grass,Tad Williams,Yes,NA,Scales of Empire,Kylie Chan,Yes,NA,Empire of Sand,Tasha Suri,NA,NA,Seven Deaths of an Empire,G.R. Matthews,Yes,NA,Foundation and Empire,Isaac Asimov,NA,NA,Empire of Wild,Cherie Dimaline,NA,NA,"Hero of the Empire: The Boer War, a Daring Escape, and the Making of Winston Churchill",Candice Millard,NA,Non-Fantasy Novel 2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Empire's Ruin,Brian Staveley,Yes,NA,William Shakespeare's The Empire Striketh Back,Ian Doescher,Yes,NA,Sins of Empire,Brian  McClellan,NA,NA,8. Prologues and Epilogues,22. Five SFF Short Stories
13,1,NA,The Shadow of the Gods,John Gwynne,NA,NA,To Sleep in a Sea of Stars,Christopher Paolini,Yes,NA,Wool,Hugh Howey,Yes,NA,Shorefall,Robert Jackson Bennett,Yes,NA,Bad Cree,Jessica Johns,NA,NA,Hummingbird Salamander,Jeff Vandermeer,NA,NA,The Bards of Bone Plain,Patricia McPhillip,Yes,NA,Ashes of the Sun,Django Wexler,Yes,NA,Lady Vago's Malediction,AKM Beach,Yes,NA,Paladin's Strength,T Kingfisher,NA,NA,Ninth House,Leigh Bardugo,Yes,NA,The Blade Itself,Joe Abercrombie,Yes,NA,Wind and Truth,Brandon Sanderson,NA,NA,Godkiller,Hannah Kaner,Yes,NA,The Golden Compass,Phillip Pullman,Yes,NA,The Fellowship of the Ring,JRR Tolkein,NA,NA,The Mercy of Gods,James SA Corey,NA,NA,Chlorine,Jade Song,Yes,NA,The Ghost Bride,Yangsze Choo,Yes,NA,Starter Villain,John Scalzi,Yes,NA,Salem's Lot,Stephen King,Yes,NA,Out There,Kate Folk,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Ballad of Black Tom,Victor LaValle,NA,NA,Babel,RF Kuang,NA,NA,Parable of the Sower,Octavia Butler,NA,NA,4. Criminals,8. Prologues and Epilogues
14,6,NA,Daughter of Chaos,A. S. Webb,NA,NA,Sistah Samurai,Tatiana Obey,NA,NA,Carl's Doomsday Scenario,Matt Dinniman,Yes,NA,Foundryside,Robert Jackson Bennett,Yes,NA,Sistersong,Lucy Holland,NA,NA,Catfish Rolling,Clara Kumagi,NA,NA,Bloody Rose,Nicholas Eames,Yes,NA,Ludluda,Jeff Noon & Steve Beard,NA,NA,The Garden of Delights,Amal Singh,NA,NA,The Spell Shop,Sarah Beth Durst,NA,NA,Blood Over Bright Haven,M.L. Wang,NA,NA,Mirrored Heavens,Rebecca Roanhorse,Yes,NA,The Last Phi Hunter,Salinee Goldenberg,Yes,NA,The Battle Drum,Saara El-Arifi,Yes,NA,Green Rider,Kristen Britain,Yes,NA,The Teller of Small Fortunes,Julie Leong,NA,NA,A Memory Called Empire,Arkady Martine,Yes,A Master of Djinn,A Master of Djinn,P. Djèlí Clark,Yes,NA,The Terraformers,Annalee Newitz,Yes,NA,Water Moon,Samantha Sotto Yambao,Yes,NA,Starling House,Alix E. Harrow,Yes,NA,Never Whistle at Night,Shane Hawk (ed),Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Annihilation,Jeff Vandermeer,NA,NA,The Jasmine Throne,Tasha Suri,Yes,NA,Forged by Magic,Jenna Wolfheart,NA,NA,6. Entitled Animals,24. Reference Materials
15,0,NA,Annihilation,Jeff VanderMeer,Yes,NA,Rendezvous with Rama,Arthur C. Clarke,NA,NA,The Luminous Dead,Caitlin Starling,Yes,NA,Chain-Gang All-Stars,Nana Kwame Adjei-Brenyah,NA,NA,Heart of Stone,Johannes T. Evans,Yes,NA,Rozdroże Kruków,Andrzej Sapkowski,NA,NA,Ammonite,Nicola Griffith,NA,NA,The Spear Cuts Through Water,Simon Jimenez,Yes,NA,Metal From Heaven,August Clarke,Yes,NA,Someone You Can Build a Nest In,John Wiswell,Yes,NA,Dionysus in Wisconsin,E.H. Lupton,NA,NA,The Last Argument of Kings,Joe Abercrombie,Yes,NA,Bury Your Gays,Chuck Tingle,NA,NA,The Heretic's Guide to Homecoming book 1: Theory,Sienna Tristen,Yes,NA,Kamikaze Kaitou Jeanne,Tanemura Arina,Yes,NA,Dungeon Crawler Carl,Matt Dinniman,NA,NA,Record of a Spaceborn Few,Becky Chambers,Yes,NA,The Teller of Small Fortunes,Julie Leong,Yes,NA,Alien Clay,Adrian Tchaikovsky,Yes,NA,The Salt Grows Heavy,Cassandra Khaw,NA,NA,Roadside Picnic,Arkady and Boris Strugatsky,Yes,NA,Valuable Humans In Transit,qntm,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Of Sea and Shadow,Will Wight,Yes,NA,Fury of the Gods,John Gwynne,Yes,NA,Welcome to Forever,Nathan Tavares,Yes,NA,20. Judge A Book By Its Cover,7. Bards
16,2,NA,Alanna: The First Adventure,Tamora Pierce,Yes,NA,The Scum Villain's Self-Saving System,Mo Xiang Tong Xiu,Yes,NA,The Deep,Rivers Solomon,Yes,NA,The Death of the Necromancer,Martha Wells,Yes,NA,The Master of Samar,Melissa Scott,Yes,NA,I'm Afraid You've Got Dragons,Peter S. Beagle,Yes,NA,The Bards of Bone Plain,Patricia A. McKillip,Yes,NA,Half a Soul,Olivia Atwater,Yes,NA,Summerwode,J. Tullos Hennig,Yes,NA,Swordcrossed,Freya Marske,Yes,NA,Conjure Wife,Fritz Leiber,Yes,NA,Dracula,Bram Stoker,Yes,NA,Voyage of the Damned,Frances White,Yes,NA,The Spear Cuts Through Water,Simon Jimenez,Yes,NA,A Song for Arbonne,Guy Gavriel Kay,Yes,NA,Legends & Lattes,Travis Baldree,Yes,NA,No Foreign Sky,Rachel Neumeier,Yes,NA,The Emperor and the Endless Palace,Justinian Huang,Yes,NA,The Whitefire Crossing,Courtney Schafer,Yes,NA,Empire of the Vampire,Jay Kristoff,Yes,NA,Wolfsong,T.J. Klune,Yes,NA,The Birthday of the World and Other Stories,Ursula K. Le Guin,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Hollow Places,T. Kingfisher,Yes,NA,Dark Heir,C.S. Pacat,Yes,NA,The Tainted Cup,Robert Jackson Bennett,Yes,NA,15. Published in the 1990s,3. Under the Surface
17,3,Yes,The Silverblood Promise,James Logan,NA,NA,The Imposition of Unnecessary Obstacles,Malka Ann Older,NA,NA,Navola,Paolo Bacigalupi,NA,NA,Metal from Heaven,August Clarke,Yes,NA,A Sorceress Comes to Call,T. Kingfisher,NA,NA,I'm Afraid You've Got Dragons,Peter S. Beagle,Yes,NA,The Color of Revenge,Cornelia Funke,NA,NA,The Navigator's Children,Tad Williams,NA,NA,The Bone Harp,Victoria Goddard,NA,NA,The Ornithologist's Field Guide to Love,India Holton,NA,NA,Talio's Codex,J. Alexander Cohen,NA,NA,Relics of Ruin,Erin M. Evans,Yes,NA,The Warm Hands of Ghosts,Katherine Arden,NA,NA,Tadek and the Princess,Alexandra Rowland,Yes,NA,The Fellowship of Puzzlemakers,Samuel Burr,NA,Non-Fantasy Novel 2016,I Ran Away to Evil,Mystic Neptune,NA,NA,Livesuit,James S.A. Corey,NA,NA,The Last PHI Hunter,Salinee Goldenberg,Yes,NA,Alien Clay,Adrian Tchaikovsky,Yes,NA,Kindling,Traci Chee,NA,NA,The Spellshop,Sarah Beth Durst,NA,NA,NA,NA,NA,NA,Why Don't We Just Kill the Kid In the Omelas Hole,Isabel J. Kim,A Guide on How to Meet the Deity of Many Faces,Oyedotun Damilola Muees,Breathing Constellations,Rich Larson,Everything in the Garden is Lovely,Hannah Yang,Rachel Is at a Protest,Esther Alter,Disquiet Gods,Christopher Ruocchio,Yes,NA,Kinning,Nisi Shawl,Yes,NA,The Stars Too Fondly,Emily Hamilton,Yes,NA,13. Published in 2024,22. Five SFF Short Stories
